date,border,local
2023-07-15,0,414
2023-07-14,0,372
2023-07-13,0,587
2023-07-12,0,685
2023-07-11,0,765
2023-07-10,0,948
2023-07-09,0,615
2023-07-08,0,460
2023-07-07,0,701
2023-07-06,0,803
2023-07-05,0,866
2023-07-04,0,923
2023-07-03,0,1036
2023-07-02,0,632
2023-07-01,0,518
2023-06-30,0,822
2023-06-29,0,952
2023-06-28,0,1008
2023-06-27,0,1209
2023-06-26,0,1392
2023-06-25,0,823
2023-06-24,0,632
2023-06-23,0,1002
2023-06-22,0,1090
2023-06-21,0,1236
2023-06-20,0,1370
2023-06-19,0,1540
2023-06-18,0,961
2023-06-17,0,689
2023-06-16,0,1006
2023-06-15,0,1210
2023-06-14,0,1378
2023-06-13,0,1500
2023-06-12,0,1786
2023-06-11,0,1045
2023-06-10,0,804
2023-06-09,0,1280
2023-06-08,0,1496
2023-06-07,0,1757
2023-06-06,0,2093
2023-06-05,0,1398
2023-06-04,0,987
2023-06-03,0,918
2023-06-02,0,1458
2023-06-01,0,1764
2023-05-31,0,2012
2023-05-30,0,2169
2023-05-29,0,2686
2023-05-28,0,1596
2023-05-27,0,1162
2023-05-26,0,1671
2023-05-25,0,1924
2023-05-24,0,2237
2023-05-23,0,2448
2023-05-22,0,2843
2023-05-21,0,1568
2023-05-20,0,1253
2023-05-19,0,1771
2023-05-18,0,1872
2023-05-17,0,2161
2023-05-16,0,2181
2023-05-15,0,2439
2023-05-14,0,1377
2023-05-13,0,1021
2023-05-12,0,1410
2023-05-11,0,1689
2023-05-10,0,1821
2023-05-09,0,1954
2023-05-08,0,2435
2023-05-07,0,1417
2023-05-06,0,1221
2023-05-05,0,1599
2023-05-04,0,1854
2023-05-03,0,1896
2023-05-02,0,1958
2023-05-01,1,2293
2023-04-30,0,1336
2023-04-29,0,970
2023-04-28,0,1616
2023-04-27,0,1714
2023-04-26,0,2079
2023-04-25,0,1483
2023-04-24,0,1870
2023-04-23,0,1177
2023-04-22,0,1051
2023-04-21,0,1491
2023-04-20,0,1724
2023-04-19,0,2061
2023-04-18,0,2115
2023-04-17,0,2751
2023-04-16,0,1509
2023-04-15,0,1221
2023-04-14,0,1825
2023-04-13,0,2248
2023-04-12,0,2441
2023-04-11,0,3005
2023-04-10,0,1952
2023-04-09,0,1307
2023-04-08,0,1246
2023-04-07,0,1148
2023-04-06,0,1803
2023-04-05,0,2026
2023-04-04,0,2143
2023-04-03,0,2459
2023-04-02,0,1546
2023-04-01,0,1214
2023-03-31,0,1582
2023-03-30,0,1717
2023-03-29,0,1824
2023-03-28,0,1909
2023-03-27,0,2392
2023-03-26,0,1374
2023-03-25,0,1083
2023-03-24,0,1505
2023-03-23,0,1594
2023-03-22,0,1767
2023-03-21,0,1780
2023-03-20,0,2144
2023-03-19,0,1216
2023-03-18,0,1016
2023-03-17,0,1434
2023-03-16,0,1647
2023-03-15,0,1765
2023-03-14,0,1903
2023-03-13,0,2171
2023-03-12,0,1282
2023-03-11,0,1175
2023-03-10,0,1474
2023-03-09,0,1845
2023-03-08,0,1820
2023-03-07,0,1773
2023-03-06,0,2139
2023-03-05,0,1247
2023-03-04,0,1036
2023-03-03,0,1613
2023-03-02,0,1757
2023-03-01,0,1793
2023-02-28,0,1898
2023-02-27,0,2085
2023-02-26,0,1139
2023-02-25,0,884
2023-02-24,0,1141
2023-02-23,0,1274
2023-02-22,0,1374
2023-02-21,0,1451
2023-02-20,0,1704
2023-02-19,0,1059
2023-02-18,0,820
2023-02-17,0,1101
2023-02-16,0,1123
2023-02-15,0,1220
2023-02-14,0,1306
2023-02-13,0,1499
2023-02-12,0,911
2023-02-11,0,790
2023-02-10,0,1090
2023-02-09,1,1193
2023-02-08,0,1328
2023-02-07,0,1641
2023-02-06,0,1081
2023-02-05,0,799
